Row Labels,Sum of Administered Vaccine in Country 1,Sum of Administered Vaccine in Country 1:1,Sum of Difference of totals
(blank),,,
(blank),,,
(blank),,,
Jan,369051305,87956459000,-17256506010
Egypt,369051305,87956459000,-17256506010
China,369051305,87956459000,-17256506010
Feb,,124240000,
Egypt,,124240000,
China,,124240000,
Mar,164534,1132420700,-102252466
Egypt,164534,1132420700,-102252466
China,164534,1132420700,-102252466
Apr,660000,5601118000,-191467000
Egypt,660000,5601118000,-191467000
China,660000,5601118000,-191467000
May,13286822,13240142000,-3356788178
Egypt,13286822,13240142000,-3356788178
China,13286822,13240142000,-3356788178
Jun,33896580,28583536000,-8718300420
Egypt,33896580,28583536000,-8718300420
China,33896580,28583536000,-8718300420
Jul,33728497,44812470000,-9807618503
Egypt,33728497,44812470000,-9807618503
China,33728497,44812470000,-9807618503
Aug,40193551,58195232000,-11062590449
Egypt,40193551,58195232000,-11062590449
China,40193551,58195232000,-11062590449
Sep,115262612,64694745000,-19273559388
Egypt,115262612,64694745000,-19273559388
China,115262612,64694745000,-19273559388
Oct,96233803,69254128000,-8861633197
Egypt,96233803,69254128000,-8861633197
China,96233803,69254128000,-8861633197
Nov,245502530,71860163000,-16516276470
Egypt,245502530,71860163000,-16516276470
China,245502530,71860163000,-16516276470
Dec,334373991,82497983000,-18116820009
Egypt,334373991,82497983000,-18116820009
China,334373991,82497983000,-18116820009
Grand Total,1282354225,5.27953E+11,-1.13264E+11
