Country,Cumulative Doses
Afghanistan,5119300
Africa,358522648
Albania,2615882
Algeria,12912154
Andorra,137754
Angola,14766030
Anguilla,21949
Antigua and Barbuda,125937
Argentina,88740883
Armenia,1865193
Aruba,144812
Asia,6887565628
Australia,50802433
Austria,17534551
Azerbaijan,12153010
Bahamas,318065
Bahrain,3345744
Bangladesh,153567402
Barbados,308632
Belarus,9894832
Belgium,24175792
Belize,443960
Benin,2336814
Bermuda,122087
Bhutan,1681601
Bolivia,11967107
Bonaire Sint Eustatius and Saba,28420
Bosnia and Herzegovina,1913728
Botswana,1083239
Brazil,367509480
British Virgin Islands,21828
Brunei,974941
Bulgaria,4198937
Burkina Faso,1239726
Burundi,9600
Cambodia,33198181
Cameroon,1024770
Canada,78700653
Cape Verde,664042
Cayman Islands,137895
Central African Republic,677656
Chad,384000
Chile,46738141
China,3003095069
Colombia,72491015
Comoros,613839
Congo,735647
Cook Islands,22921
Costa Rica,8275493
Cote d'Ivoire,7555964
Croatia,5115192
Cuba,32905042
Curacao,224543
Cyprus,1722478
Czechia,17156899
Democratic Republic of Congo,447301
Denmark,13113609
Djibouti,139420
Dominica,61369
Dominican Republic,14881913
Ecuador,30170298
Egypt,64342370
El Salvador,9961133
England,114263105
Equatorial Guinea,449744
Estonia,1504775
Eswatini,480222
Ethiopia,10640736
Europe,1210602125
European Union,829122523
Faeroe Islands,99727
Falkland Islands,4933
Fiji,1280773
Finland,11153872
France,137456889
French Polynesia,345093
Gabon,509239
Gambia,343828
Georgia,2745992
Germany,166137779
Ghana,9426713
Gibraltar,113798
Greece,19317235
Greenland,77185
Grenada,83867
Guatemala,13618875
Guernsey,141213
Guinea,4699612
Guinea-Bissau,443248
Guyana,775093
Haiti,218957
High income,2230317175
Honduras,10506284
Hong Kong,11188921
Hungary,15990686
Iceland,776333
India,1686455434
Indonesia,321087060
Iran,134353608
Iraq,15641573
Ireland,10408648
Isle of Man,182384
Israel,17968600
Italy,130115028
Jamaica,1319768
Japan,207833284
Jersey,176503
Jordan,9230577
Kazakhstan,18019810
Kenya,13131382
Kiribati,120177
Kosovo,1786360
Kuwait,7328802
Kyrgyzstan,2530659
Laos,7672197
Latvia,2799841
Lebanon,4951143
Lesotho,803511
Liberia,1081067
Libya,3057149
Liechtenstein,69354
Lithuania,4430438
Low income,94880335
Lower middle income,3273151766
Luxembourg,1237642
Macao,1044056
Madagascar,1132802
Malawi,1892507
Malaysia,63851590
Maldives,851280
Mali,1618513
Malta,1210389
Mauritania,2512575
Mauritius,2025428
Mexico,168213451
Moldova,1952752
Monaco,65072
Mongolia,5450388
Montenegro,656651
Montserrat,3872
Morocco,52328798
Mozambique,19571248
Myanmar,40610518
Namibia,709302
Nauru,15463
Nepal,30851416
Netherlands,33452453
New Caledonia,362750
New Zealand,9648945
Nicaragua,8790622
Niger,1795881
Nigeria,20084246
Niue,2484
North America,902869317
North Macedonia,1801906
Northern Cyprus,602390
Northern Ireland,3611470
Norway,11068274
Oceania,63844660
Oman,6555181
Pakistan,182539072
Palestine,3349524
Panama,6626189
Papua New Guinea,527192
Paraguay,7588277
Peru,56045707
Philippines,128298018
Pitcairn,43
Poland,52008053
Portugal,21797146
Qatar,5932299
Romania,16481913
Russia,155298369
Rwanda,16083234
Saint Helena,7718
Saint Kitts and Nevis,57678
Saint Lucia,108788
Saint Vincent and the Grenadines,56117
Samoa,260751
San Marino,63143
Sao Tome and Principe,151608
Saudi Arabia,58110171
Scotland,11739674
Senegal,2039282
Serbia,8400224
Seychelles,191268
Sierra Leone,1315123
Singapore,12775195
Sint Maarten (Dutch part),35885
Slovakia,6815613
Slovenia,2927282
Solomon Islands,275283
Somalia,1479039
South Africa,30070813
South America,726825356
South Korea,115055828
South Sudan,355081
Spain,90724557
Sri Lanka,36228167
Sudan,3699648
Suriname,498507
Sweden,19521174
Switzerland,15373621
Syria,2962488
Taiwan,42260240
Tajikistan,8097573
Tanzania,3063958
Thailand,116551840
Timor,1242240
Togo,2508897
Tokelau,1966
Tonga,137409
Trinidad and Tobago,1487689
Tunisia,12797667
Turkey,143398561
Turkmenistan,7529158
Turks and Caicos Islands,57095
Tuvalu,9639
Uganda,14090743
Ukraine,30180880
United Arab Emirates,22901034
United Kingdom,136330874
United States,543262376
Upper middle income,4551661438
Uruguay,7497908
Uzbekistan,42210894
Vanuatu,183253
Venezuela,36272588
Vietnam,181374596
Wales,6716605
Wallis and Futuna,11786
World,10151550867
Yemen,731416
Zambia,2451563
Zimbabwe,7608406
