date,Australia,Canada,England,Poland
1/01/2022,19755837,29419071,39820104,21046692
1/02/2022,20228401,30182561,40654197,21770732
1/03/2021,12,548984,612567,1192900
1/04/2021,79244,721867,3931103,2058204
1/05/2021,260011,1150212,12835358,2959722
1/06/2021,541115,2222979,22153420,7300303
1/07/2021,1726273,12198554,27930697,13524896
1/08/2021,3964723,22511850,32110377,17498174
1/09/2021,7512554,25584928,35975144,18821841
1/10/2021,11571446,27072837,37659364,19489903
1/11/2021,16678894,28324643,38331506,19966504
1/12/2021,18858248,29047132,38937452,20456289
10/01/2022,19928352,29551323,40063640,21276912
10/03/2021,28,599261,939232,
10/04/2021,147897,830187,6177878,2105550
10/05/2021,300001,1304807,15224244,3728697
10/06/2021,686480,3790710,24710013,9204705
10/07/2021,2303847,16164935,29123541,
10/08/2021,4892237,23716717,33240790,17953396
10/09/2021,8631565,26021043,36736520,19082133
10/10/2021,12998286,27454543,37875457,
10/11/2021,17582957,28581916,38516564,
10/12/2021,19238301,29181016,39174060,20663982
11/01/2022,19946441,29570238,40086819,21329145
11/03/2021,32,604339,1008912,1555400
11/04/2021,148816,835183,6338332,2106549
11/05/2021,306087,1324619,15533159,3839390
11/06/2021,,4119783,24961654,9479766
11/07/2021,2325721,16423251,29204296,15181701
11/08/2021,5023297,23825594,33386744,18003250
11/09/2021,8720390,26064301,36822588,19096932
11/10/2021,13212457,27469924,37895807,
11/11/2021,17680831,28601613,38536124,20112513
11/12/2021,19262415,29191699,39208121,20685210
12/01/2022,19967401,29590157,40111895,21371753
12/03/2021,34,607832,1076426,1595520
12/04/2021,157107,854368,6504605,2113615
12/05/2021,314110,1348808,15935683,
12/06/2021,,4411834,25238467,9675538
12/07/2021,2400772,16874288,29304113,15277111
12/08/2021,5158400,23945201,33552169,18064134
12/09/2021,8773858,26099675,36865490,19106619
12/10/2021,13446945,27519577,37918254,19648767
12/11/2021,17778385,28639191,38555353,20134376
12/12/2021,19271471,29199358,39233021,20689638
13/01/2022,19987928,29612110,40138445,21400739
13/03/2021,34,610828,1115066,1602745
13/04/2021,164051,869327,6762337,2137304
13/05/2021,320135,1377806,16314333,4241956
13/06/2021,866386,4673552,25391916,9747952
13/07/2021,2488649,17251309,29429018,15453502
13/08/2021,5295788,24058411,33695859,
13/09/2021,8921250,26154961,36920297,
13/10/2021,13672371,27567212,37943082,19651359
13/11/2021,17835028,28657208,38578159,
13/12/2021,19329106,29217482,39258415,20707123
14/01/2022,20006998,29635733,40163688,21424542
14/03/2021,35,612782,1129444,1606154
14/04/2021,170881,883266,7054720,
14/05/2021,328350,1413171,16660758,4415044
14/06/2021,902037,4990517,25566178,9929923
14/07/2021,2578512,17633834,29580353,15700212
14/08/2021,5372888,24150522,33869577,18156083
14/09/2021,9066250,26194308,36976818,19143244
14/10/2021,13891163,27618125,37966571,
14/11/2021,17872077,28674737,38590118,20147634
14/12/2021,19375276,29229324,39291545,20730782
15/01/2022,20015852,29655803,40202830,
15/03/2021,223,618169,1161526,1610293
15/04/2021,177989,900049,7417722,2248126
15/05/2021,330823,1438441,17014522,4535597
15/06/2021,926029,5321555,25741881,
15/07/2021,2669945,18026795,29747505,15907199
15/08/2021,5409686,24229281,33971458,18173552
15/09/2021,9215782,26239859,37033914,19167754
15/10/2021,14101561,27668159,37991951,19714288
15/11/2021,17958614,28709667,38605643,20159697
15/12/2021,19421269,29244693,39324944,20756179
16/01/2022,20020735,29671835,40226925,21434065
16/03/2021,525,622683,1224435,1621287
16/04/2021,184149,907704,7863747,
16/05/2021,331610,1454104,17172209,4577701
16/06/2021,961240,5688674,25922508,10485703
16/07/2021,2753511,18412793,29911441,
16/08/2021,5542237,24360564,34089456,18205787
16/09/2021,9360385,26293698,37092855,19191249
16/10/2021,14245406,27700461,38022391,19725793
16/11/2021,18041042,28734721,38622540,20177480
16/12/2021,19468074,29254895,39362570,20780909
17/01/2022,20036097,29691756,40248876,21454689
17/03/2021,1346,628165,1315341,1664524
17/04/2021,186046,931734,8322627,
17/05/2021,410731,1468784,17382651,4642010
17/06/2021,1020097,6092047,26098666,10765849
17/07/2021,2801868,18681854,30107863,16211976
17/08/2021,5671442,24468475,34210364,18244397
17/09/2021,9529749,26352475,37148112,19219358
17/10/2021,14360419,27729050,38036936,19728692
17/11/2021,18116999,28767835,38641051,20197468
17/12/2021,19515162,29270094,39400263,20814451
18/01/2022,20050685,29701817,40274021,21484370
18/03/2021,2081,633845,1419950,1730349
18/04/2021,186748,937331,8518498,
18/05/2021,417721,1496930,17651934,4794334
18/06/2021,1044332,6529912,26260696,10993055
18/07/2021,2828259,18883349,30213335,
18/08/2021,5815832,24562728,34357933,18309754
18/09/2021,9633085,26393304,37214246,
18/10/2021,14558572,27787036,38057604,
18/11/2021,18192428,28798541,38658480,20219201
18/12/2021,19538547,29279704,39441375,20835654
19/01/2022,20066316,29715902,40299741,
19/03/2021,2771,640390,1520680,1769770
19/04/2021,194189,957698,8734163,2307284
19/05/2021,425427,1533515,17960954,
19/06/2021,1056670,6884371,26456342,11136832
19/07/2021,2906803,19266611,30325879,16316648
19/08/2021,5958723,24662167,34511819,18358017
19/09/2021,9700572,26427763,37244704,19244807
19/10/2021,14753069,27823372,38078745,19756793
19/11/2021,18266176,28824276,38677203,20247539
19/12/2021,19553057,29287131,39477511,20841341
2/01/2022,19778026,29420224,39835708,21049453
2/02/2022,20243421,30227647,40679231,21795822
2/03/2021,12,559672,640219,
2/04/2021,80361,728231,4146857,2070003
2/05/2021,260716,1161709,12972758,
2/06/2021,550194,2324364,22442383,7700322
2/07/2021,1808266,12709604,28072972,13716258
2/08/2021,4061924,22593297,32204802,17538257
2/09/2021,7653638,25639587,36079141,18860734
2/10/2021,11689936,27111048,37690213,19500218
2/11/2021,16777488,28345138,38349313,19981458
2/12/2021,18910601,29065536,38964371,20470166
20/01/2022,20083160,29731011,40326810,21541049
20/03/2021,2924,645540,1591129,1780169
20/04/2021,201717,969598,9007092,2341716
20/05/2021,434769,1577950,18328096,5222430
20/06/2021,1081088,7174726,26534936,11190284
20/07/2021,2994696,19565469,30452042,16443569
20/08/2021,6103421,24752920,34657292,18410561
20/09/2021,9853616,26494054,37286142,19259376
20/10/2021,14946699,27868142,38100446,19774453
20/11/2021,18309411,28841059,38698795,20264284
20/12/2021,19587839,29308909,39522166,20861652
21/01/2022,20098787,29763930,40356608,21559669
21/02/2021,,425863,513435,929965
21/03/2021,19677,648741,1621547,1783720
21/04/2021,220376,983203,9346865,2415993
21/05/2021,,1632148,18699556,5410599
21/06/2021,1088652,7500859,26534936,11337728
21/07/2021,3090133,19911150,30598323,16603052
21/08/2021,6190566,24827798,34831330,18443277
21/09/2021,10018707,26544927,37325390,19278324
21/10/2021,15144905,27911338,38122473,19793580
21/11/2021,18323181,28853929,38710035,20268848
21/12/2021,19620308,29316253,39570657,20880086
22/01/2022,20106005,29791999,40395240,21570109
22/02/2021,,458079,518779,934782
22/03/2021,23185,652182,1685983,1788446
22/04/2021,227294,1001159,9692540,2495838
22/05/2021,,1682472,19207569,5553678
22/06/2021,1214531,7910137,26745666,11643337
22/07/2021,3183426,20250237,30754568,16759941
22/08/2021,6240640,24886760,34927576,18459139
22/09/2021,10183666,26596103,37365066,19320780
22/10/2021,15342065,27959770,38144896,
22/11/2021,18410862,28887249,38725602,20280698
22/12/2021,19651146,29336821,39617971,20904529
23/01/2022,20110855,29827165,40419566,21589637
23/02/2021,3,476972,528360,
23/03/2021,24379,656822,1820530,1808008
23/04/2021,231623,1020228,10086684,2543112
23/05/2021,,1706455,19427631,5597165
23/06/2021,1242690,8367662,26874354,11934134
23/07/2021,3271964,20564400,30909329,16881997
23/08/2021,6368421,24977514,35040581,
23/09/2021,10355227,26656853,37406794,19340905
23/10/2021,15484232,27988077,38172423,19830320
23/11/2021,18472524,28902448,38744164,20298362
23/12/2021,19678606,29352145,39657294,20920358
24/01/2022,20123268,29855725,40443854,21608106
24/02/2021,3,491736,542569,1031518
24/03/2021,28573,661926,2028543,1857517
24/04/2021,232720,1036073,10564692,
24/05/2021,435185,1726387,19707303,5689744
24/06/2021,1359919,8891527,27011033,12052910
24/07/2021,3327213,20782670,31087214,
24/08/2021,6508204,25061592,35149802,18524940
24/09/2021,10522536,26722030,37446361,19367855
24/10/2021,15569263,28012760,38186561,19833946
24/11/2021,18533097,28914962,38764212,
24/12/2021,19678606,29361888,39670834,20922391
25/01/2022,20137891,29903275,40468154,21633454
